ID,Code,Easting,Northing,Elevation,Sd,HA,VA,PC,TH
4062,zktj,545717.4665,202308.8509,325.0494,47.8326,67.4623,90.3701,-0.0070,1.3000
4063,zktb,545714.6559,202308.9043,324.8268,47.8758,64.2423,90.5258,-0.0070,1.3000
4064,zkab,545713.6724,202308.9330,324.4530,47.9461,63.1354,91.1942,-0.0070,1.3000
4065,zkab,545713.2813,202292.7562,324.5616,31.8262,61.1236,91.4821,-0.0070,1.3000
4066,zktb,545714.4921,202292.6073,325.0190,31.5920,63.2242,90.5922,-0.0070,1.3000
4067,zktj,545717.4677,202292.4382,325.2009,31.4338,68.4736,90.3945,-0.0070,1.3000
4068,zkaj,545718.5201,202292.4290,324.7648,31.5047,70.4226,91.2716,-0.0070,1.3000
4069,fvo,545720.5078,202290.9362,325.1329,30.2530,74.4211,90.4903,-0.0070,1.3000
4070,fvo,545720.5883,202291.9192,325.1809,31.2360,74.3415,90.4212,-0.0070,1.3000
4071,fvo,545721.2450,202290.8656,325.4380,30.3033,76.0605,90.1420,-0.0070,1.3000
4072,zkaj,545718.2800,202282.0120,324.8512,21.1169,72.2759,91.5609,-0.0070,1.3000
4073,zktj,545716.9993,202282.0170,325.3489,21.0014,68.5927,90.3516,-0.0070,1.3000
4074,zktb,545713.9652,202282.4281,325.1015,21.4664,60.4843,91.1409,-0.0070,1.3000
4075,zkab,545712.9027,202282.4003,324.6976,21.5700,57.5923,92.1813,-0.0070,1.3000
4076,zkab,545711.9576,202268.2252,324.8052,8.1951,37.2329,95.1911,-0.0070,1.3000
4077,zktb,545712.9247,202268.1662,325.2078,7.6998,43.3205,92.3924,-0.0070,1.3000
4078,zktj,545715.7642,202267.7705,325.5164,6.7223,65.1058,90.2431,-0.0070,1.3000
4079,zkaj,545717.1538,202267.5994,325.0036,6.7048,77.1056,94.4809,-0.0070,1.3000
4080,szko,545709.2782,202257.7869,325.6997,7.3385,309.2022,88.5632,-0.0070,1.3000
4081,zkab,545709.3094,202248.9420,324.8499,13.7872,274.0858,92.5819,-0.0070,1.3000
4082,zktb,545710.5133,202248.9038,325.3002,13.2775,269.2923,91.0825,-0.0070,1.3000
4083,zktj,545713.4377,202248.3670,325.6609,12.9214,256.3225,89.3418,-0.0070,1.3000
4084,zkaj,545714.8138,202247.7584,325.1737,13.3496,250.1358,91.4039,-0.0070,1.3000
4085,fvo,545716.7259,202247.6798,325.8143,13.4146,242.0150,88.5553,-0.0070,1.3000
4086,fvo,545716.8553,202248.5046,325.7838,12.6012,241.1141,89.0005,-0.0070,1.3000
4087,fvo,545717.6295,202248.4136,326.0206,12.7835,237.4547,87.5712,-0.0070,1.3000
4088,zkab,545707.3671,202236.8360,324.9266,25.6738,265.0611,91.2526,-0.0070,1.3000
4089,zktb,545708.6297,202236.6663,325.5226,25.4398,262.1727,90.0538,-0.0070,1.3000
4090,zktj,545711.4699,202236.2035,325.7722,25.2414,255.4740,89.3141,-0.0070,1.3000
4091,zkaj,545712.8842,202235.8270,325.3558,25.4091,252.3013,90.2814,-0.0070,1.3000
4092,zkab,545704.4723,202221.9665,325.0872,40.7182,262.0214,90.4017,-0.0070,1.3000
4093,zktb,545705.4067,202221.8352,325.5540,40.5913,260.4307,90.0053,-0.0070,1.3000
4094,zktj,545708.2043,202221.3073,325.8972,40.4835,256.4146,89.3144,-0.0070,1.3000
4095,zkaj,545709.8883,202220.8044,325.4460,40.6961,254.1359,90.0960,-0.0070,1.3000
4096,fvo,545706.9853,202206.7348,325.3345,55.0453,255.0450,90.1421,-0.0070,1.3000
4097,fvo,545706.7275,202205.9134,325.3104,55.8978,255.1221,90.1537,-0.0070,1.3000
4098,fvo,545705.8757,202206.1187,325.4890,55.8403,256.0609,90.0438,-0.0070,1.3000
4099,mutargy,545708.1902,202210.6782,324.9884,50.9652,254.2724,90.3851,-0.0070,1.3000
4100,mutargy,545708.7791,202213.3632,324.9634,48.2230,254.1437,90.4251,-0.0070,1.3000
4101,mutargy,545701.4826,202215.0663,324.9408,48.1893,263.0936,90.4429,-0.0070,1.3000
4102,mutargy,545701.5012,202215.0708,324.9405,48.1795,263.0826,90.4431,-0.0070,1.3000
4103,mutargy,545700.8874,202212.4339,324.9625,50.8794,262.5459,90.4040,-0.0070,1.3000
